ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
ɖ̰ː,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
tˀ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɗ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
tʼː,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d̰ː,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪ˀ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪̰,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪ʼː,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪̰ː,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
pˀ,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
ɓ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
pʼː,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
b̰ː,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
p͡tˀ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
b͡d̰,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
p͡tʼː,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
b͡d̰ː,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
qˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢ̰ˤ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ʛˤː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,
ʈˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖ̰ˤ,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
tˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d̰ˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɗˤː,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,+,-,-,
t̪ˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪̰ˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
pˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
b̰ˤ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ɓˤː,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,+,-,-,
p͡tˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
b͡d̰ˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
cʼʲ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ʄ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
cʼː,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɟ̰ː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɠᶣ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
kˀ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɠ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
kʼː,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ɡ̰ː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
cʼʷ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɢʷˀ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɠʷː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ʈʼʲ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖ̰ʲ,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖ̰ˠ,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ʈʼʷ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɖʷˀ,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ǂˀ,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂʼː,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǂʼʲ,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂʼʷ,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,-,+,-,+,+,-,-,-,-,
ǃˀ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
ǃʼː,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,+,-,+,-,-,
ǃʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
tʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɗʲ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɗʲː,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-,
ɗᶣ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
d̰ˠ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɗːˠ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,+,-,-,
ǃʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,+,-,+,+,-,-,-,-,
tʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
dʷˀ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɗʷː,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
ǀˀ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǀʼː,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǀʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
t̪ʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪̰ʲ,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪̰ˠ,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
ǀʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,+,-,+,+,-,-,-,-,
t̪ʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
d̪ʷˀ,-,-,+,-,-,-,-,-,+,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ʘˀ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
k͡pˀ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɡ͡b̰,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʘʼː,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,+,-,-,
k͡pʼː,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ɡ͡b̰ː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ʘʼʲ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
k͡pʼʲ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɡ͡b̰ʲ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɡ͡b̰ˠ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,
ʘʼʷ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,+,-,+,+,-,-,-,-,
k͡pʼʷ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɡ͡bʷˀ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,
pʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɓʲ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
ɓːʲ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
b̰ˠ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
ɓːˠ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
pʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
bʷˀ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
ɓʷː,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
p͡tʼʲ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,
b͡d̰ʲ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,+,-,-,-,-,-,-,-,-,-,
b͡d̰ˠ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,+,-,+,-,-,-,-,-,-,-,
p͡tʼʷ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,+,-,+,-,+,-,-,-,-,-,
b͡dʷˀ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,+,+,-,+,-,+,-,-,-,-,-,
cˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɡ̰ˤ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɠˤː,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
qʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɠʷˤ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʈʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ǂˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,+,+,-,-,+,-,-,-,-,
ǂʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,+,+,-,+,+,+,-,+,+,-,-,-,-,
ǃˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,+,+,-,-,+,-,-,-,-,
ǃʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,+,+,-,+,+,-,-,-,-,
tʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɗʷˤ,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
ǀˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,-,-,-,
ǀʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+,+,-,-,-,-,
t̪ʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
k͡pˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,
ʘˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,-,+,-,-,-,-,
ɡ͡b̰ˤ,-,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,+,+,-,-,-,-,-,-,-,
ʘʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,+,+,-,-,-,-,
k͡pʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,+,+,+,-,+,-,-,-,-,-,
pʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ɓʷˤ,-,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
p͡tʷˤʼ,-,-,+,-,-,-,-,-,-,-,+,+,+,-,+,+,+,+,-,+,-,-,-,-,-,
qʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɢ̤,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
qʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɢʰː,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ʈʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖ̤,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʈʰː,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɖʰː,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
tʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d̤,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
tʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
dʰː,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪ʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪̤,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪ʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪ʰː,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
pʰ,-,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b̤,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
pʰː,-,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
bʰː,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
p͡tʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
b͡d̤,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,
p͡tʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
b͡dʰː,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,
qˤʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢˤʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ʈˤʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖˤʰ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
tˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
dˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
t̪ˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪ˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
pˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
bˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
p͡tˤʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
b͡dˤʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,
cʰʲ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɟ̤,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
cʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɟʰː,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
cʰᶣ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
ɡʰᶣ,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
# cʰˠ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɡ̤,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
kʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɡʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
kʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
ɡʰː,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,+,-,-,
cʷʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɡʷʰ,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
cʷʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ɟʷʰː,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ʈʰʲ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖʰʲ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ʈʰᶣ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɖʰᶣ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ʈʰˠ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɖʰˠ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ʈʷʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɖʷʰ,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ʈʷʰː,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɖʷʰː,-,-,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ǂʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂʰː,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǂʰʲ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǂʰᶣ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,+,-,-,-,-,
ǂʰˠ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,-,-,
ǂʷʰ,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,+,-,-,-,-,
ǂʷʰː,-,-,+,-,-,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,+,-,+,-,-,
ǃʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
ǃʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,-,+,-,-,
ǃʰʲ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,
tʰʲ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
dʰʲ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
ǃʰᶣ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,
tʰᶣ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
dʰᶣ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,
ǃʰˠ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,+,-,-,-,-,
tʰˠ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
dʰˠ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
ǃʷʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,-,-,-,
tʷʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
dʷʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
ǃʷʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,+,-,+,-,-,
tʷʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
dʷʰː,-,-,+,-,-,-,-,-,+,+,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,
ǀʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
ǀʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,+,-,-,
ǀʰʲ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,+,-,-,-,-,
t̪ʰʲ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪ʰʲ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
ǀʰᶣ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,+,-,-,-,-,
t̪ʰᶣ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
d̪ʰᶣ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
ǀʰˠ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,+,-,-,-,-,
t̪ʰˠ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
d̪ʰˠ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
ǀʷʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,-,-,-,
t̪ʷʰ,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
d̪ʷʰ,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
ǀʷʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,+,-,+,-,-,
t̪ʷʰː,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
d̪ʷʰː,-,-,+,-,-,-,-,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
k͡pʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʘʰ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
ɡ͡b̤,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,
ʘʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,+,-,-,
k͡pʰː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ɡ͡bʰː,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,-,+,-,-,
ʘʰʲ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,-,+,-,-,-,-,
